10522 15876 0 0 0
0 1 1 0 1
10523 15876 0 603 0
10524 15876 0 886 0
10525 15877 0 1979 0
10526 15876 0 3125 0
2 3 1 3278 0
10527 15877 0 3724 0
10528 15876 0 4552 0
10529 15877 0 4605 0
10530 15876 0 4955 0
10531 15876 0 5057 0
10532 15876 0 5342 0
4 5 1 5520 0
4 3 1 5557 0
10533 15876 0 5596 0
10531 15876 0 5968 0
10534 15877 0 6043 0
10533 15876 0 6068 0
10535 15876 0 6222 0
10536 15876 0 6381 0
10537 15876 0 6648 0
10537 15876 0 6735 0
10538 15877 0 6811 0
10539 15876 0 6843 0
10540 15877 0 6878 0
10524 15876 0 6909 0
10522 15876 0 6960 0
10526 15876 0 7164 0
10541 15876 0 7425 0
10542 15876 0 7501 0
10543 15876 0 7832 0
10544 15877 0 7912 0
10545 15876 0 7934 0
10546 15877 0 7986 0
10544 15877 0 8061 0
10545 15876 0 8069 0
10542 15876 0 8224 0
10547 15876 0 8424 0
10548 15876 0 8757 0
10549 15876 0 8815 0
10550 15877 0 8920 0
10551 15876 0 8951 0
10552 15876 0 9075 0
10530 15876 0 9415 0
6 7 1 9590 1
10553 15878 0 9601 0
10554 15876 0 10236 0
10555 15876 0 10304 0
10556 15876 0 11675 0
10557 15876 0 11730 0
10558 15877 0 12255 0
10559 15877 0 12315 0
10560 15876 0 12338 0
10561 15876 0 12416 0
10562 15876 0 12939 0
10563 15876 0 13026 0
10525 15877 0 14601 0
10564 15876 0 14781 0
10564 15876 0 14815 0
10565 15876 0 14967 0
10566 15876 0 15341 0
10567 15877 0 15345 0
6329 15876 0 15635 0
10568 15877 0 15911 0
10569 15876 0 16022 0
10570 15876 0 16473 0
8 3 1 16744 0
8 9 1 16810 0
10571 15877 0 16908 0
8 5 1 16951 0
10 9 1 16989 0
10572 15876 0 17017 0
10573 15876 0 17037 0
6191 15876 0 17234 0
10574 15876 0 17262 0
4996 15876 0 17292 0
10575 15876 0 17303 0
10576 15877 0 17569 0
10577 15876 0 17892 0
10577 15876 0 17980 0
11 3 1 18342 0
11 12 1 18405 0
10578 15877 0 18461 0
10579 15876 0 18638 0
10580 15876 0 18920 0
10580 15876 0 18943 0
10581 15876 0 19394 0
10582 15876 0 19445 0
10582 15876 0 19474 0
10583 15876 0 19510 0
10584 15877 0 19729 0
10585 15876 0 20510 0
10586 15876 0 20957 0
10587 15877 0 20988 0
10588 15876 0 21489 0
10589 15876 0 21849 0
10590 15876 0 22264 0
10591 15876 0 22332 0
10590 15876 0 22525 0
10592 15876 0 22873 0
10593 15876 0 22993 0
10565 15876 0 23048 0
10594 15877 0 23358 0
10595 15876 0 23678 0
10596 15876 0 24624 0
10596 15876 0 24716 0
10597 15876 0 24985 0
14 13 1 25379 1
13 14 1 25379 1
10598 15877 0 25626 0
10599 15876 0 25834 0
10600 15877 0 25988 0
10599 15876 0 26055 0
10601 15877 0 26116 0
10602 15876 0 26347 0
10602 15876 0 26358 0
10603 15877 0 26522 0
10604 15876 0 26595 0
10605 15876 0 26728 0
10600 15877 0 26737 0
10606 15876 0 27183 0
10607 15876 0 27751 0
10608 15876 0 27924 0
10609 15876 0 28051 0
10609 15876 0 28074 0
10610 15876 0 28162 0
10611 15876 0 28279 0
10612 15876 0 28450 0
10608 15876 0 28453 0
10600 15877 0 28486 0
10613 15876 0 28695 0
10614 15876 0 29103 0
10615 15877 0 29796 0
10616 15877 0 30478 0
10566 15876 0 31023 0
10593 15876 0 31294 0
10617 15876 0 31344 0
10618 15879 0 31609 0
10617 15876 0 31758 0
10619 15876 0 31859 0
10620 15880 0 31899 0
10621 15876 0 31926 0
10608 15876 0 31996 0
10622 15879 0 32144 0
10623 15876 0 32269 0
2943 15876 0 32720 0
10530 15876 0 33301 0
2943 15876 0 33379 0
10624 15876 0 33419 0
10624 15876 0 33437 0
10606 15876 0 33556 0
10625 15879 0 33619 0
10626 15880 0 33648 0
10565 15876 0 33989 0
10627 15879 0 34223 0
10529 15879 0 34276 0
10586 15876 0 34592 0
10628 15879 0 34677 0
10629 15877 0 35060 0
10629 15877 0 35143 0
10630 15876 0 35583 0
10631 15876 0 35794 0
10632 15876 0 35872 0
10532 15876 0 36021 0
10633 15879 0 36362 0
10634 15877 0 36786 0
10635 15876 0 36816 0
10635 15876 0 36923 0
10636 15879 0 36929 0
10637 15879 0 37095 0
10636 15877 0 37262 0
10597 15876 0 37714 0
10638 15876 0 38012 0
10639 15876 0 38315 0
10640 15876 0 38817 0
10641 15876 0 39134 0
10642 15876 0 39159 0
10643 15879 0 39413 0
10641 15876 0 39526 0
10643 15877 0 40766 0
10644 15876 0 40825 0
10645 15876 0 40826 0
10643 15877 0 40930 0
10438 15876 0 40960 0
10646 15877 0 41054 0
10647 15879 0 41897 0
7193 15876 0 42078 0
15 3 1 42314 0
15 9 1 42366 0
10648 15876 0 42368 0
15 16 1 42601 0
10649 15876 0 42742 0
10650 15876 0 43022 0
10651 15876 0 43118 0
10652 15876 0 43443 0
10653 15876 0 43624 0
10654 15876 0 43806 0
10655 15876 0 43896 0
17 18 1 43982 0
10656 15879 0 44042 0
19 20 1 44068 0
10654 15876 0 44361 0
10657 15879 0 44558 0
10658 15876 0 44789 0
10659 15881 0 44923 0
10660 15876 0 44954 0
10661 15879 0 44974 0
10662 15876 0 45106 0
10617 15876 0 45287 0
10663 15876 0 45294 0
10648 15876 0 45320 0
10664 15876 0 45605 0
10645 15876 0 45626 0
10665 15876 0 45816 0
10666 15876 0 45849 0
10667 15876 0 45864 0
10668 15879 0 45901 0
10669 15876 0 46015 0
10670 15876 0 46167 0
10671 15879 0 46170 0
10603 15879 0 46298 0
10672 15876 0 46323 0
10673 15876 0 46488 0
10668 15877 0 46499 0
